file_name,dataset,model_type,seed,epsilon,verifier,property,result
MNIST_0.007_2894.out,MNIST,prune_0.4,90,0.007,abc,94,0
MNIST_0.006_1463.out,MNIST,prune_0.2,50,0.006,abc,63,1
MNIST_0.007_5113.out,MNIST,prune_0.75,20,0.007,abc,13,1
MNIST_0.006_6961.out,MNIST,prune_0.8,100,0.006,abc,61,1
MNIST_0.008_8457.out,MNIST,prune_0.9,50,0.008,abc,57,0
MNIST_0.006_8765.out,MNIST,prune_0.9,80,0.006,abc,65,0
MNIST_0.007_87.out,MNIST,baseline,10,0.007,abc,87,0
MNIST_0.007_5687.out,MNIST,prune_0.75,70,0.007,abc,87,0
MNIST_0.007_5333.out,MNIST,prune_0.75,40,0.007,abc,33,0
MNIST_0.008_2406.out,MNIST,prune_0.4,50,0.008,abc,6,1
MNIST_0.006_4347.out,MNIST,prune_0.7,40,0.006,abc,47,1
MNIST_0.006_6466.out,MNIST,prune_0.8,50,0.006,abc,66,1
MNIST_0.007_7917.out,MNIST,prune_0.85,100,0.007,abc,17,0
MNIST_0.008_6062.out,MNIST,prune_0.8,10,0.008,abc,62,0
MNIST_0.008_6097.out,MNIST,prune_0.8,10,0.008,abc,97,0
MNIST_0.006_7259.out,MNIST,prune_0.85,30,0.006,abc,59,1
MNIST_0.007_5443.out,MNIST,prune_0.75,50,0.007,abc,43,0
MNIST_0.008_6807.out,MNIST,prune_0.8,90,0.008,abc,7,0
MNIST_0.007_7841.out,MNIST,prune_0.85,90,0.007,abc,41,0
MNIST_0.006_6149.out,MNIST,prune_0.8,20,0.006,abc,49,1
MNIST_0.007_2868.out,MNIST,prune_0.4,90,0.007,abc,68,1
MNIST_0.007_2536.out,MNIST,prune_0.4,60,0.007,abc,36,1
MNIST_0.006_8495.out,MNIST,prune_0.9,50,0.006,abc,95,0
MNIST_0.007_6370.out,MNIST,prune_0.8,40,0.007,abc,70,0
MNIST_0.006_7207.out,MNIST,prune_0.85,30,0.006,abc,7,0
MNIST_0.008_158.out,MNIST,baseline,20,0.008,abc,58,1
MNIST_0.007_316.out,MNIST,baseline,40,0.007,abc,16,1
MNIST_0.007_2282.out,MNIST,prune_0.4,30,0.007,abc,82,1
MNIST_0.006_910.out,MNIST,baseline,100,0.006,abc,10,1
MNIST_0.007_9.out,MNIST,baseline,10,0.007,abc,9,1
MNIST_0.007_4862.out,MNIST,prune_0.7,90,0.007,abc,62,0
MNIST_0.006_5552.out,MNIST,prune_0.75,60,0.006,abc,52,1
MNIST_0.008_7837.out,MNIST,prune_0.85,90,0.008,abc,37,0
MNIST_0.007_7728.out,MNIST,prune_0.85,80,0.007,abc,28,0
MNIST_0.008_8851.out,MNIST,prune_0.9,90,0.008,abc,51,1
MNIST_0.006_8274.out,MNIST,prune_0.9,30,0.006,abc,74,1
MNIST_0.008_1197.out,MNIST,prune_0.2,20,0.008,abc,97,0
MNIST_0.006_6029.out,MNIST,prune_0.8,10,0.006,abc,29,1
MNIST_0.006_3300.out,MNIST,prune_0.6,40,0.006,abc,0,1
MNIST_0.008_7890.out,MNIST,prune_0.85,90,0.008,abc,90,0
MNIST_0.007_4532.out,MNIST,prune_0.7,60,0.007,abc,32,1
MNIST_0.008_7419.out,MNIST,prune_0.85,50,0.008,abc,19,0
MNIST_0.006_7926.out,MNIST,prune_0.85,100,0.006,abc,26,1
MNIST_0.008_7457.out,MNIST,prune_0.85,50,0.008,abc,57,0
MNIST_0.006_720.out,MNIST,baseline,80,0.006,abc,20,1
MNIST_0.008_1232.out,MNIST,prune_0.2,30,0.008,abc,32,1
MNIST_0.006_6048.out,MNIST,prune_0.8,10,0.006,abc,48,0
MNIST_0.008_6126.out,MNIST,prune_0.8,20,0.008,abc,26,0
MNIST_0.008_2281.out,MNIST,prune_0.4,30,0.008,abc,81,1
MNIST_0.006_6794.out,MNIST,prune_0.8,80,0.006,abc,94,1
MNIST_0.008_3210.out,MNIST,prune_0.6,30,0.008,abc,10,1
MNIST_0.007_4916.out,MNIST,prune_0.7,100,0.007,abc,16,1
MNIST_0.007_7088.out,MNIST,prune_0.85,10,0.007,abc,88,1
MNIST_0.007_1313.out,MNIST,prune_0.2,40,0.007,abc,13,1
MNIST_0.007_6195.out,MNIST,prune_0.8,20,0.007,abc,95,0
MNIST_0.008_391.out,MNIST,baseline,40,0.008,abc,91,1
MNIST_0.006_8037.out,MNIST,prune_0.9,10,0.006,abc,37,1
MNIST_0.008_3534.out,MNIST,prune_0.6,60,0.008,abc,34,1
MNIST_0.008_7302.out,MNIST,prune_0.85,40,0.008,abc,2,0
MNIST_0.008_3446.out,MNIST,prune_0.6,50,0.008,abc,46,0
MNIST_0.006_7263.out,MNIST,prune_0.85,30,0.006,abc,63,1
MNIST_0.007_5611.out,MNIST,prune_0.75,70,0.007,abc,11,1
MNIST_0.006_7231.out,MNIST,prune_0.85,30,0.006,abc,31,1
MNIST_0.006_3111.out,MNIST,prune_0.6,20,0.006,abc,11,1
MNIST_0.006_7844.out,MNIST,prune_0.85,90,0.006,abc,44,1
MNIST_0.008_1619.out,MNIST,prune_0.2,70,0.008,abc,19,1
MNIST_0.007_1443.out,MNIST,prune_0.2,50,0.007,abc,43,0
MNIST_0.006_3927.out,MNIST,prune_0.6,100,0.006,abc,27,1
MNIST_0.008_1110.out,MNIST,prune_0.2,20,0.008,abc,10,1
MNIST_0.007_4048.out,MNIST,prune_0.7,10,0.007,abc,48,0
MNIST_0.008_5581.out,MNIST,prune_0.75,60,0.008,abc,81,1
MNIST_0.008_1688.out,MNIST,prune_0.2,70,0.008,abc,88,1
MNIST_0.008_1262.out,MNIST,prune_0.2,30,0.008,abc,62,0
MNIST_0.007_1570.out,MNIST,prune_0.2,60,0.007,abc,70,1
MNIST_0.008_4837.out,MNIST,prune_0.7,90,0.008,abc,37,0
MNIST_0.006_6443.out,MNIST,prune_0.8,50,0.006,abc,43,0
MNIST_0.006_8945.out,MNIST,prune_0.9,100,0.006,abc,45,1
MNIST_0.008_4872.out,MNIST,prune_0.7,90,0.008,abc,72,1
MNIST_0.008_6181.out,MNIST,prune_0.8,20,0.008,abc,81,0
MNIST_0.008_1671.out,MNIST,prune_0.2,70,0.008,abc,71,1
MNIST_0.008_8191.out,MNIST,prune_0.9,20,0.008,abc,91,0
MNIST_0.008_798.out,MNIST,baseline,80,0.008,abc,98,0
MNIST_0.006_8858.out,MNIST,prune_0.9,90,0.006,abc,58,1
MNIST_0.007_1415.out,MNIST,prune_0.2,50,0.007,abc,15,1
MNIST_0.008_6110.out,MNIST,prune_0.8,20,0.008,abc,10,0
